Nom,latitude,longitude,code_postal
BAIRON ET SES ENVIRONS,49.508821336,4.756360615,08400
CONTREUVE,49.362102405,4.615167855,08400
DAIGNY,49.705144001,5.001611885,08140
LES DEUX VILLES,49.654005216,5.230750733,08110
DOUMELY BEGNY,49.633846688,4.306187094,08220
DOUX,49.5170063,4.428741857,08300
L ECHELLE,49.805574884,4.48463337,08150
ECLY,49.554455975,4.28698196,08300
FLAIGNES HAVYS,49.819025247,4.399580729,08260
FLOING,49.723049914,4.932738702,08200
FRAILLICOURT,49.66434896,4.168498985,08220
FUMAY,49.972721265,4.660580645,08170
GERMONT,49.433003467,4.879669888,08240
GESPUNSART,49.817719048,4.844084776,08700
GIRONDELLE,49.85225908,4.38636173,08260
GLAIRE,49.716790926,4.905723377,08200
GOMONT,49.510084613,4.168533216,08190
GRANDPRE,49.349582076,4.850769735,08250
HANNOGNE ST REMY,49.606225732,4.142884545,08220
HARGNIES,50.009224256,4.79143599,08170
HARRICOURT,49.439445156,4.923341281,08240
HAUDRECY,49.783685599,4.612513341,08090
HERPY L ARLESIENNE,49.526423473,4.188327343,08360
HOULDIZY,49.812638004,4.668911657,08090
LAIFOUR,49.902790977,4.695570389,08800
LANCON,49.274634979,4.887906328,08250
LANDRES ET ST GEORGES,49.352179374,5.012878623,08240
LETANNE,49.544407874,5.079829914,08210
LONNY,49.81576892,4.585786309,08150
MARBY,49.835119307,4.426990757,08260
MARCQ,49.313901044,4.91980499,08250
MAUBERT FONTAINE,49.882704229,4.432735439,08260
MENIL ANNELLES,49.43690848,4.45032635,08310
MESMONT,49.617897636,4.398763757,08270
MOGUES,49.659516516,5.283406341,08110
LA MONCELLE,49.692879756,4.996058416,08140
MOURON,49.315240055,4.784347498,08250
NANTEUIL SUR AISNE,49.502700107,4.296681557,08300
LA NEUVILLE EN TOURNE A FUY,49.346649462,4.392152639,08310
NOVION PORCIEN,49.596183024,4.428563838,08270
